Date,Hour,Excluded,Total,Flights,Booths,AvgWtTime
5/1/2017,0000 - 0100,14,424,3,11,16
5/1/2017,0200 - 0300,3,140,1,5,6
5/1/2017,0600 - 0700,6,173,1,12,10
5/1/2017,0700 - 0800,11,340,1,12,22
5/1/2017,0800 - 0900,12,422,2,11,10
5/1/2017,0900 - 1000,17,531,3,13,40
5/1/2017,1000 - 1100,15,414,4,13,34
5/1/2017,1100 - 1200,24,693,5,20,33
5/1/2017,1200 - 1300,18,385,2,18,23
5/1/2017,1300 - 1400,96,2104,10,24,20
5/1/2017,1400 - 1500,76,1790,8,22,21
5/1/2017,1500 - 1600,47,1247,7,28,26
5/1/2017,1600 - 1700,37,1107,5,23,18
5/1/2017,1700 - 1800,38,1089,6,19,11
5/1/2017,1800 - 1900,40,1203,7,19,11
5/1/2017,1900 - 2000,35,973,5,20,17
5/1/2017,2000 - 2100,20,494,2,18,12
5/1/2017,2300 - 0000,10,231,2,8,8
5/2/2017,0000 - 0100,15,319,2,9,19
5/2/2017,0600 - 0700,6,161,1,11,5
5/2/2017,0700 - 0800,14,341,2,13,19
5/2/2017,0800 - 0900,15,370,2,10,11
5/2/2017,0900 - 1000,19,447,2,13,36
5/2/2017,1000 - 1100,18,385,4,12,16
5/2/2017,1100 - 1200,11,407,3,14,9
5/2/2017,1300 - 1400,72,1898,10,30,13
5/2/2017,1400 - 1500,63,1504,8,25,12
5/2/2017,1500 - 1600,68,1569,8,29,19
5/2/2017,1600 - 1700,40,762,4,21,18
5/2/2017,1700 - 1800,61,1189,7,22,13
5/2/2017,1800 - 1900,32,992,6,25,11
5/2/2017,1900 - 2000,19,684,3,21,7
5/2/2017,2000 - 2100,13,357,2,10,14
5/2/2017,2300 - 0000,17,319,2,9,15
5/3/2017,0000 - 0100,16,400,3,10,16
5/3/2017,0600 - 0700,4,157,1,13,6
5/3/2017,0700 - 0800,15,334,1,13,22
5/3/2017,0800 - 0900,7,223,1,10,10
5/3/2017,0900 - 1000,61,899,5,14,34
5/3/2017,1000 - 1100,13,233,3,13,27
5/3/2017,1100 - 1200,19,456,3,17,20
5/3/2017,1200 - 1300,16,471,4,18,16
5/3/2017,1300 - 1400,82,1618,8,22,15
5/3/2017,1400 - 1500,88,1790,10,25,15
5/3/2017,1500 - 1600,46,1544,8,20,20
5/3/2017,1600 - 1700,8,250,2,19,17
